day,month,year,dayname,season,stadium,city,state,attendance,capacity,game_id,summary
30,March,2018,Friday,2017,Philips Arena,Atlanta,Georgia,16600,18100,4015,"The Philadelphia 76ers defeated the Atlanta Hawks , 101 - 91 , at Philips Arena on Friday . The 76ers ( 45 - 30 ) are riding an impressive streak and once again they delivered a strong performance to extend their winning run to nine games . The Sixers jumped to a 30 - 27 lead in the first quarter , and they extended their advantage to six points ( 47 - 41 ) at half time . The Hawks ( 21 - 54 ) tried to bounce back , but Philly ran away for good in the third with an impressive 39 - 18 advantage . The game was all but over entering the fourth and while Atlanta won the final 12 minutes by a 32 - 15 score , the damage had been done already . The Sixers pushed their winning run and keep proving they are hitting top gear right when it matters the most . The absence of Joel Embiid did n't hurt Philadelphia , as Ben Simmons had another triple - double thanks to 13 points , 12 rebounds , and 11 assists . J.J. Redick had 19 points , and Robert Covington delivered 10 points . The team 's top scorer came off the bench , however , as Ersan Ilyasova led the way for Philly with 21 points and 16 rebounds coming off the bench . Marco Belinelli ( 11 points ) and Markelle Fultz ( 10 points ) had strong efforts off the bench as well . Isaiah Taylor started in place of Dennis Schroder , and delivered a strong performance of 12 points and seven assists . Damion Lee paced Atlanta 's offense with 20 points and four rebounds . Taurean Prince had 12 points , and Dewayne Dedmon delivered a strong double double of 11 points and 15 rebounds . Tyler Dorsey scored 10 points off the bench ."
3,December,2014,Wednesday,2014,Time Warner Cable Arena,Charlotte,North Carolina,16900,19100,379,"The Bulls ( 12 - 7 ) knocked off the Hornets ( 4 - 15 ) 102 - 95 Wednesday night in Charlotte . The Hornets dropped their tenth consecutive game and allowed at least 100 points for the fifth straight contest . They were paced by 23 points , five rebounds and four assists from Kemba Walker , who converted 7 - of - 18 field goal attempts . Lance Stephenson contributed 20 points and eight rebounds , while Al Jefferson added 13 points and seven boards . All five Charlotte starters scored in double figures , but the Hornets shot just 40 percent from the field as a team . The Bulls , who rebounded from a double - overtime loss at the hands of the Mavericks on Tuesday , shot 46 percent from the field and made 12 - of - 28 three - point attempts . Pau Gasol led the way with 19 points and 15 rebounds , while Joakim Noah added 14 points , 10 rebounds and seven assists . Derrick Rose and Jimmy Butler each had 15 points , and Nikola Mitotic contributed 11 points and 12 rebounds in 28 minutes off the bench . Chicago out - rebounded the Hornets 49 - 42 but turned the ball over 11 times , compared to Charlotte 's five . Up next , the Bulls take on the Warriors on Saturday . The Hornets play host to the Knicks on Friday night ."
13,December,2016,Tuesday,2016,Smoothie King Center,New Orleans,Louisiana,17800,16900,3253,"The Golden State Warriors defeated the host New Orleans Pelicans , 113 - 109 , at Smoothie King Center on Tuesday . The records of these teams would indicate a lopsided result , but this game was tight until the final whistle . While there were only eight ties and 13 lead changes , neither team was able to grab a double - digit lead for the entirety of the game . The key for the Warriors was the assist - to - turnover ratio , with the Warriors recording 30 assists to 12 turnovers , while the Pelicans committed 17 turnovers to 26 assists . That 's evident by the fact that Golden State took 13 more shots than New Orleans . Golden State ( 22 - 4 ) did n't have their best game here , but they escaped with a big road victory . Draymond Green was the second - lowest scoring starter , but accrued 12 points , 12 rebounds , 10 assists and four steals en route to another triple - double . Stephen Curry led the team in scoring . dropping 30 points , four rebounds and seven assists . Kevin Durant was n't far behind , as he scored 27 points on 10 - of - 19 shooting . The Warriors will look to keep rolling on Thursday , when they host the New York Knicks . New Orleans ( 8 - 18 ) has struggled mightily recently , but losses like this against elite teams have to be encouraging despite the result . Anthony Davis did all he could , as he lead the team with 28 points , eight rebounds and five blocks on 10 - of - 14 shooting . Jrue Holiday went just 3 - of - 12 from the field , but accumulated 10 points , eight rebounds , six assists and four steals in the defeat . Langston Galloway was a great spark off the bench , tallying 20 points , five rebounds and three steals . Tim Frazier also played well off the bench , scoring 13 points and handing out eight dimes . On deck for the Pelicans is a home matchup against the Indiana Pacers on Thursday .In a game with eight ties and 13 lead changes , neither of these squads were able to grab a double - digit lead for the entirety of the game . The Warriors won the turnover battle and that 's evident through the shot attempts , as Golden State took 95 shots to New Orleans ' 82 . One strange stat is the fact that the Warriors committed 12 turnovers , while the Pelicans recorded 12 steals . That means Golden State had no turnovers that went out of bounds , thus limiting transition baskets and points off turnovers . Anthony Davis carried the load for the Pelicans once again , tallying 28 points , eight rebounds and five blocks . Jrue Holiday had a nice all - around game too , accruing 10 points , eight rebounds , six assists and four steals in the defeat . Draymond Green recorded his first triple - double of the season , accumulating 12 points , 12 rebounds , 10 assists and four steals . Stephen Curry led the team with 30 points , while Kevin Durant dropped 27 of his own ."
28,January,2018,Sunday,2017,Smoothie King Center,New Orleans,Louisiana,16400,16900,4493,"The Los Angeles Clippers defeated the host New Orleans Pelicans , 112 - 103 , at Smoothie King Center on Sunday . This was a true tale of two halves , as Los Angeles overcame a big halftime deficit to prevail with a win . In fact , New Orleans led by 21 at times in the second quarter , as they led by 11 heading into the half . The Clippers then responded with a 61 - 41 second half , as Los Angeles held the lead for the entirety of the fourth quarter . Despite an extremely close stat sheet , the biggest difference was the assist - to - turnover ratio . In fact , Los Angeles recorded six more assists than New Orleans while committing three fewer turnovers . That was evident with the Clippers taking 96 total shots while the Clippers took just 85 field goal attempts . The Clippers ( 25 - 24 ) got a gem out of Blake Griffin , as he tallied 27 points , 12 rebounds and seven assists . DeAndre Jordan amassed 12 points and 19 rebounds . Tyrone Wallace accrued 19 points , six rebounds and six assists . Lou Williams led the bench with 22 points , four rebounds , six assists and two steals . The Pelicans ( 27 - 22 ) were led by Anthony Davis , as he tallied 25 points , 17 rebounds , six assists and two steals . Jrue Holiday accumulated 20 points . nine rebounds , seven assists and three blocks . E'Twaun Moore was the final Pelican in double figures , as he totaled 18 points and two rebounds . Both teams return to action on Tuesday , with New Orleans hosting the Sacremento Kings and Los Angeles welcoming the Portland Trail Blazers to Staples Center ."
18,December,2016,Sunday,2016,American Airlines Center,Dallas,Texas,19500,19200,3089,"Playing without the services of Rudy Gay and Omri Casspi , DeMarcus Cousins was relied on even more than usual , and he responded with a game - high 33 points . However , the remaining members of Sacramento 's starting five posted single - digit scoring tallies , with Kosta Koufos ( six points , nine boards ) , Garret Temple ( five points ) , Ben McLemore ( five points ) and Darren Collision ( two points on 1 - of - 8 shooting ) all considerably underperforming . Ty Lawson was the only other player with double - digits in the scoring column , supplying 10 points off the bench . Dorian Finney-Smith led the way for Dallas with 17 points , while Harrison Barnes , Deron Williams and Wesley Matthews all had matching 15 - point efforts . Devin Harris ( 14 points , seven rebounds , an assist and a steal ) and Seth Curry ( 13 points , five rebounds , four assists , two steals ) were highly productive in reserve roles .The Dallas Mavericks defeated the Sacramento Kings , 99 - 79 , at American Airlines Center on Sunday . The Kings ( 10 - 17 ) checked in to the contest short - handed , as both Rudy Gay ( hip ) and Omri Casspi ( illness ) were sidelined . That put the onus on DeMarcus Cousins even more than usual , and he did respond with a game - high 33 points , along with six rebounds and a block . However , it was far from enough to offset single - digit scoring tallies from the remainder of Sacramento 's starting five . Meanwhile , the Mavs ( 7 - 20 ) saw six players hit double digits in the scoring column , while shooting a solid 45 percent from the field as a team . Kosta Koufos was the next most productive starter for the Kings , albeit a distant second to Cousins ' standout effort . Koufos posted six points , nine rebounds and a pair of steals . Garrett Temple and Ben McLemore posted a pair of five - point efforts , and Darren Collison turned in a disappointing two points , three assists and a rebound on just 1 - of - 8 shooting over 25 minutes . Ty Lawson paced the bench with 10 points , three assists , two rebounds and a steal . Dorian Finney-Smith led the way for Dallas with 17 points , three assists , two rebounds and a steal . Harrison Barnes was just short of a double - double with 15 points , nine boards , two assists , three steals and a block . Deron Williams and Wesley Matthews also had matching 15 - point efforts , while shooting a combined 11 - of - 23 . Devin Harris ( 14 points , seven rebounds , an assist and a steal ) and Seth Curry ( 13 points , five rebounds , four assists , two steals ) were highly productive in reserve roles . Sacramento heads back home for a Tuesday evening date with the Trail Blazers , while the Mavericks travel to Denver to take on the Nuggets on Monday night ."
24,January,2015,Saturday,2014,FedExForum,Memphis,Tennessee,17600,17800,269,"The Memphis Grizzlies ( 31 - 12 ) beat the Philadelphia 76ers ( 8 - 36 ) , 101 - 83 . The loss marks the fifth straight for the Sixers . Zach Randolph hit his second three - pointer of the season . Courtney Lee replaced Tony Allen in the starting lineup . Zach Randolph recorded 17 points , 14 rebounds and four assists in 27 minutes . Recently acquired Jeff Green scored a team - high 18 points and was joined by Vince Carter ( 13 points ) in the double - digit scoring brigade . The Grizzlies outscored the Sixers in the paint , 52 - 32 . The Sixers , already the league 's worst free - throw shooting team , shot 12 - of - 22 at the charity stripe . Rookie Jerami Grant scored a career - high 16 points . Michael Carter-Williams was the only other Sixer to tabulate double - digit scoring , squeaking by with 10 points , six assists , three rebounds and five turnovers . Larry Drew II was the only Sixer to shoot better than 50 percent from the field , compiling nine points and four assists in 20 minutes . The Grizzlies conclude their five - game homestand Monday against the Orlando Magic . The Sixers travel to New Orleans to face the Pelicans on Monday ."
20,March,2015,Friday,2014,Amway Center,Orlando,Florida,16200,18800,608,"The Orlando Magic ( 22 - 49 ) defeated the Portland Trailblazers ( 44 - 23 ) 111 - 104 on Friday in Orlando . The win ended a six - game losing streak for the Magic and were led to the upset victory by Elfrid Payton , who recorded his second consecutive triple - double , putting up 22 points on 10 - of - 13 shooting , 10 rebounds , 10 assists and four steals in 36 minutes . Now , in his previous two games , Payton has totaled 35 points , 20 rebounds and 22 assists . Nikola Vucevic and Victor Oladipo also each scored the team - high 22 points and grabbed 8 rebounds . However , they shot a sub - par 17 - 45 from the field . The shooting struggles have been apparent for Oladipo as of late , as in his last two games he has shot just 14 - 43 from the field and 2 - of - 8 from long range . Channing Frye was the only other Orlando starter to score in double figures with 10 points in 31 minutes , while Ben Gordon contributed a solid 11 points in 17 minutes off the bench . In injury news , Tobias Harris sat out his second consecutive game with a sprained ankle . LaMarcus Aldridge scored a game - high 36 points in the losing effort for the Trail Blazers on 12 - of - 24 shooting to go along with 10 rebounds in 36 minutes . This was Aldridge 's second straight game with at least 30 points and 10 rebounds and his fourth straight double - double . From there , there was a big drop off in Portland production , as Damian Lillard scored 18 points on 6 - of - 15 shooting and also recorded four rebounds and four assists in 37 minutes . Robin Lopez was the only other Trail Blazers starter to score in double figures , putting up 10 points in 26 minutes . Off the bench , C.J . McCollum played 19 minutes and scored 15 points on 5 - of - 9 shooting in that span . The loss gives Portland a three game win streak , and they currently find themselves in fourth place in the Western Conference and 2 games behind the Houston Rockets for third . They also hold just a one - game lead over the Clippers and Mavericks for fifth and sixth place . Up next , the Magic will stay home and go up against the Nuggets , while Portland will travel to Memphis Saturday to take on the Grizzlies in a matchup with big - time playoff implications ."
30,December,2017,Saturday,2017,Philips Arena,Atlanta,Georgia,15900,18100,3995,"The Atlanta Hawks defeated the Portland Trail Blazers , 104 - 89 , at Philips Arena on Saturday . Despite the fact that Portland led this game early on , Atlanta really dominated in the second half . In fact , the Hawks rode a 58 - 37 second half to overcome a seven - point halftime deficit . The assist - to - turnover ratio was decisive , with Atlanta recording 10 more assists than Portland , while committing seven fewer turnovers . Rim protection was also key , with the Hawks swatting away eight shots and Portland getting just three blocks . Atlanta 's bench also dominated , outscoring the Blazers bench , 41 - 23 . The Trail Blazers ( 18 - 17 ) were led by Shabazz Napier , as he tallied 21 points , eight rebounds , six assists and two blocks . C.J . McCollum totaled 18 points , four rebounds and two assists . Al-Farouq Aminu amassed 10 points , five rebounds and three assists . No other player on the roster reached double figures in scoring , as Jusuf Nurkic finished with eight points , 11 rebounds , four assists and three blocks . The Hawks ( 10 - 26 ) had six players score at least 12 points , as Dennis Schroder led them with 22 points and eight assists . Ersan Ilyasova accrued 13 points , eight rebounds and two assists , Taurean Prince collected 12 points , 10 rebounds and five assists . Kent Bazemore accumulated 12 points , three rebounds , two assists , two steals and two blocks . On deck for Portland is a road matchup versus the Chicago Bulls on Monday . As for Atlanta , they travel to play the Phoenix Suns on Tuesday for their next fixture ,"
5,April,2017,Wednesday,2016,Spectrum Center,Charlotte,North Carolina,17800,19100,2869,"The Miami Heat defeated the Charlotte Hornets , 112 - 99 , at Spectrum Center on Wednesday night . The Heat ( 38 - 40 ) came into Wednesday knowing that a win would vault them back to the coveted eighth seed in the Eastern Conference . Miami had a tall order in front of them , however , as the Hornets ( 36 - 43 ) owned a winning record at home and were fighting for that eighth spot in their own right , although from a less advantageous position than their visitors . As it turned out , it was the Heat that looked considerably more postseason - worthy , utilizing a big third quarter to pull away from the double - digit road win . The duo of Goran Dragic and James Johnson were spectacular while combining for 59 points , and Hassan Whiteside posted a huge double - double down low on a night in which Miami won the rebounding battle by a 40 - 36 margin . Dragic led the way with a game - high 33 points , which he supplemented with four assists , one rebound and two steals . Johnson tallied 26 points , four boards , three assists and two steals . Josh Richardson was next with 19 points , six rebounds , five assists and one block . Whiteside managed a 13 - point , 20 - rebound double - double that also included three blocks and one steal . Tyler Johnson led the way for the bench with 12 points , three assists and two rebounds . Nicolas Batum set the pace for Charlotte , supplying 24 points , seven assists , three rebounds , one steal and one block . Kemba Walker registered 18 points , five assists and two rebounds . Marvin Williams pitched in with a 15 - point , 12 - rebound double - double . Cody Zeller and Michael Kidd-Gilchrist each submitted eight - point efforts , while Frank Kaminsky led the second unit with 13 points , one rebound and one assist . The Heat next head to Toronto for a Friday night showdown with the Raptors , while the Hornets remain home to tangle with the Boston Celtics on Saturday evening ."
26,December,2016,Monday,2016,Toyota Center,Houston,Texas,18100,18100,3376,"The Rockets have the league 's second highest - scoring offense , and showcased their ability to find the bucket on Monday . Six Rockets scored in double figures and the team shot 50 percent with 15 three - pointers en route to the blowout win . Of course , the lead on offense came from point guard James Harden , who scored 32 points on 9 - of - 18 shooting and dished out 12 assists . Harden is the league leader in assists while also ranking fifth in scoring . Eric Gordon hit three three - pointers off the bench and now ranks just one three - pointer made behind Steph Curry for the league lead . Phoenix , meanwhile , saw struggles on offense , shooting just 42 percent and 23 percent from three . Point guard Eric Bledsoe , however , did not struggle , scoring 24 points along with six rebounds and four assists . Bledsoe is the Suns ' leading scorer at over 20 points per game .The Houston Rockets defeated the visiting Phoenix Suns on Monday , 131 - 115 . Houston ( 23 - 9 ) has surprised many by holding the third - best record in the Western Conference over a third of the way through the season . On Monday , the Rockets looked as strong as ever , due in large part to the strong play of superstar James Harden . Harden predictably took over the game , scoring 32 points and dishing out 12 assists , both team highs . Sixth man Eric Gordon , meanwhile , continued to be a key part of the Rockets ' newfound high - paced offensive attack . Gordon had 15 points and hit three three - pointers . As a team , the Rockets had 15 three - pointers and shot an impressive 50 percent from the field . Phoenix ( 9 - 22 ) , on the other hand , sits near the bottom of the Western Conference for the second straight season . The Suns have won just three of their last eight contests . On Monday , Phoenix started the game off by accumulating a huge deficit , trailing 39 - 23 by the end of the first quarter . Point guard Eric Bledsoe , however , continued to impress , scoring 24 points to go with six rebounds and four assists . The Rockets will visit Dallas on Tuesday , while the Suns will travel to San Antonio on Wednesday ."
18,November,2017,Saturday,2017,Spectrum Center,Charlotte,North Carolina,17600,19100,4066,"The Charlotte Hornets defeated the Los Angeles Clippers , 103 - 87 , at Spectrum Center on Saturday evening . Kemba Walker , the Hornets ' most prized offensive piece , came into Saturday night 's contest partly compromised because of a wrist injury suffered in Friday 's three - point loss to the Bulls . However , the All-Star point guard battled through any discomfort to score a game - high 26 points , a total he supplemented with six assists and two rebounds . Walker was 8 - for - 17 from the field overall , including an impressive 6 - for - 9 from three - point range . The Hornets ( 6 - 9 ) also were extremely careful with the ball , committing only eight turnovers while eliciting 14 from the visiting Clippers ( 5 - 10 ) . Their defensive effort also included limiting Los Angeles to just 40 percent shooting overall , including 28 percent from three - point range . Lou Williams paced the Clippers with a 25 - point effort off the bench , and he added four assists and two rebounds . Blake Griffin totaled 19 points , eight rebounds and four assists . DeAndre Jordan followed with a 10 - point , 14 - rebound double - double that also included two assists and two blocks . Wesley johnson and Austin Rivers provided matching nine - point efforts , with the former adding five rebounds , one assist , two blocks and one steal , and the latter supplying four boards , three assists and one steal . Jeremy Lamb , back on the second unit now that Nicolas Batum has returned to action , led the bench with 17 points , four rebounds , one assist and two steals . Dwight Howard mustered a 16 - point , 16 - rebound double - double that also included one assist , two steals and one block . Batum filled out the stat sheet with 12 points , seven assists , four rebounds , two blocks and one steal . Marvin Williams tallied 10 points , four rebounds , one assist , two blocks and one steal . The Clippers next to the Big Apple to take on the New York Knicks on Monday night , while the Hornets remain home to tangle with the Minnesota Timberwolves on that same evening ."
28,October,2014,Tuesday,2014,Smoothie King Center,New Orleans,Louisiana,17100,16900,780,"The New Orleans Pelicans ( 10 ) defeated the Orlando Magic ( 0 - 1 ) in convincing fashion 101 - 84 at the Smoothie King Center Tuesday in New Orleans . Anthony Davis took the reins for the Pelicans and came one block shy of posting the first triple - double of the season . In 36 minutes of game action , Davis finished with 26 points ( 10 - 22 FG ) , 17 rebounds , two assists , three steals , and nine blocks . To go along with Davis ' huge day , Ryan Anderson played extremely well off the bench scoring 22 points and adding nine rebounds . Omer Asik got his first double - double of the season , scoring 14 points and pulling in 17 rebounds . The Magic struggled due to injuries that kept a large portion of their lineup out of the game . Victor Oladipo is expected to miss most of the first month of the season recovering from surgery to fix a facial fracture , and Channing Frye was unavailable as he continues to work his way back from an MCL sprain in his knee . Frye was a game - time decision Tuesday , meaning he is likely to return to action soon . Lottery pick Elfrid Payton had a somewhat of a disappointing regular season debut , as he only scored four points . On a positive note , he did have seven assists and only two turnovers . Tobias Harris and Nikola Vucevic were the two bright spots for the Magic . Harris finished with 25 points and eight boards , while Vucevic ended with 15 points and 23 rebounds . The Magic 's other lottery pick , Aaron Gordon finished with 11 points ( 5 - 8 FG ) in 28 minutes off the bench . The Magic 's next game comes against the Washington Wizards at home Thursday , while the Pelicans will take on the Dallas Mavericks at home Saturday ."
28,November,2014,Friday,2014,Chesapeake Energy Arena,Oklahoma City,Oklahoma,0,18200,1034,"The Oklahoma City Thunder ( 5 - 12 ) defeated the New York Knicks ( 4 - 13 ) 105 - 78 on Friday . Russell Westbrook ( broken right hand ) made his return to the court Friday in impressive fashion . He scored a game - high 32 points and also collected seven rebounds and eight assists in just 24 minutes as the starting point guard . Kevin Durant ( foot ) , Perry Jones ( knee ) , and Mitch McGary ( foot ) remained out , but Grant Jerrett ( ankle ) made his NBA debut with nine minutes off the bench . Reggie Jackson returned to a bench role as the backup poist guard . He played 29 minutes and put up 10 points with four assists . The Thunder will go on the road to the play the New Orleans Pelicans on Tuesday . New York has dropped three straight games , and they 've been without Carmelo Anthony ( back spasms ) for all but 10 minutes of those games . Not a single starter for the Knicks was able to reach double digits in scoring . Amare ' Stoudemire scored a team - high 20 points off the bench in 25 mintues . The Knicks will return home to host the Miami Heat on Sunday ."
30,November,2016,Wednesday,2016,Chesapeake Energy Arena,Oklahoma City,Oklahoma,0,18200,3497,"The Oklahoma City Thunder defeated the Washington Wizards 126 - 115 Wednesday at Chesapeake Energy Arena . For the Thunder ( 12 - 8 ) , they continue to roll as they have now won four in a row after dropping three straight . Wednesday night , Russell Westbrook served as the hero , as not only did he drop yet another triple - double with 35 points , 14 rebounds and 11 assists , but he also hit a step - back 3 - pointer in the closing moments to send the game into overtime - - the only three he hit in the game . From there , he would not be denied a victory , as he went on to score 14 of the team 's 21 points in the overtime period , outscoring the Wizards , 14 - 10 , on his own . Westbrook 's night was n't the most efficient , however , as he shot just 12 - of - 35 from the field and 1 - of - 6 from behind the arc . Victor Oladipo , on the other hand , had a very efficient evening , shooting 10 - of - 16 from the field en route to 25 points on top of six rebounds and six assists . The Wizards ( 6 - 11 ) are now losers of two of their last three games as they continue to battle inconsistent play early in this season . Bradley Beal , however , has remained consistently deadly since returning from a hamstring injury that sidelined him for three games . His 31 points on Wednesday night was his second straight 30 - point effort in a row and he is now averaging 29 points over his last three games . His partner in the backcourt John Wall struggled shooting from the field , going just 6 - of - 20 overall and 2 - of - 7 from behind the arc , but he did record 15 points and 15 assists - - his second double - double in a row and fourth in the last five games . Washington will look back on this game , however , and see many missed opportunities at the free throw line , where they made just 16 of their 25 attempts . Up next , the Thunder will look to extend their winning streak on Sunday against the Pelicans , while the Wizards will head to San Antonio on Friday to take on the Spurs .Bradley Beal has been playing like an offensive juggernaut since returning from a hamstring injury that held him out for three games , and his 31 - point performance on Wednesday continued that trend . Since returning , Beal has been averaging 28 points while shooting 50 percent from the field overall . And while those numbers jump off the page , what may jump even higher off the page is the number of minutes he has been playing . Beal , who already has a rich injury history in this young season , has played at least 38 minutes in his last six games with the 42 he played against Oklahoma City being the highest he 's played all season . Head coach Scott Brooks has said that he needs Beal on the floor to give the Wizards a chance of winning the game , but with Beal failing to put together anything close complete NBA season in his career , the wear and tear on an already fragile body could be dangerous for a struggling Washington team ."
6,February,2016,Saturday,2015,FedExForum,Memphis,Tennessee,18100,17800,1503,"In a matchup of two Southwestern Division rivals that look bound for the playoffs , the Dallas Mavericks ( 29 - 25 ) beat out the Memphis Grizzlies ( 30 - 21 ) in overtime , 114 - 110 . Small forward Chandler Parsons proved to be a key difference - maker in Saturday 's matchup , as he led the game with 26 points . Parsons was lights - out from the field , shooting 10 - for - 15 including 5 - for - 8 from beyond the arc . After beginning the season hampered by injuries , Parsons has begun to settle in since mid - January , and is now averaging 20 points in his last 10 outings . Also integral to the Dallas win was point guard Deron Williams , who served as an offensive general with 22 points and 11 assists dished out . As a whole , Dallas thrived behind the arc , hitting 15 three - pointers against a Grizzlies team notorious for poor shooting from deep . Memphis has held steady in the fifth slot in the Western Conference throughout the season . The `` grit and grind `` team shot an impressive 50 percent from the field , but could not seem to stop Dallas 's deadly three - point shooters . Big men Marc Gasol and Zach Randolph led the offensive effort , posting 22 points and 20 points respectively . Randolph also notched a double - double , pulling down 14 rebounds . The Grizzlies will host the Trail Blazers on Monday . Dallas will have more rest , as the Mavs do n't see the court until they face Utah on Tuesday ."
10,February,2019,Sunday,2018,American Airlines Center,Dallas,Texas,20300,19200,5563,"The Dallas Mavericks defeated the Portland Trail Blazers , 102 - 101 , at American Airlines Center on Sunday . The Mavericks ( 26 - 29 ) and the Trail Blazers ( 33 - 22 ) played a thrilling game that seemed to be headed towards one direction , but Dallas flipped the script incredibly during the final 12 minutes of action to secure a huge win . In fact , Dallas won the first quarter by a one - point margin ( 25 - 24 ) , but Portland responded winning both the second ( 33 - 22 ) and third ( 35 - 31 ) quarters , so they were up by 14 points entering the final frame . It seemed as if the Trail Blazers were ready to secure the win , but Dallas came out of nowhere to flip the script and win the game thanks to an impressive fourth quarter , where they allowed just nine points while scoring 24 . Luka Doncic was the best player for the Mavericks since he finished with 28 points , nine rebounds and six assists , while Tim Hardaway Jr. chipped in with 24 points , four rebounds and three assists . Dorian Finney-Smith had 11 points with six boards , while Dwight Powell contributed with 13 points coming off the bench . Dirk Nowitzki came off the bench and played 13 minutes , but only had three points and three rebounds . Only three Portland players topped the 10 - point mark and as expected , most of the heavy lifting in this game was done by their Big Three . Damian Lillard led the way with 30 points , but he also added five assists , three rebounds and steals but also committed five turnovers . Jusuf Nurkic posted a strong double - double of 18 points and 10 boards , while C.J . McCollum had 14 points , five boards and five assists ."
23,March,2016,Wednesday,2015,Toyota Center,Houston,Texas,18200,18100,2167,"The Utah Jazz ( 35 - 36 ) defeated the host Houston Rockets ( 35 - 37 ) 89 - 87 , Wednesday at Toyota Center . The Utah Jazz came into this game only a half - game behind the eighth - place Houston Rockets and with this win , overtake Houston for the eighth spot in the West . It was a hard - fought win for the Jazz , who had lost their last six games at the Toyota center . Utah trailed 49 - 34 at half - time but then went on a 39 - 24 run , which tied the game at 73 with 6:5 left in the fourth quarter . From there , the teams traded baskets down to the last possession . After a game - tying dunk by Dwight Howard , with 22 seconds left , the Jazz elected not to call time - out and continued play , which led to a game - winning dunk by Derrick Favors , with 2 seconds left . James Harden could not sink a last - second , three - point attempt , leading to Houston 's third loss in a row and Utah 's second win in a row . The Jazz have now won six of their last seven , while the Rockets have lost five of their last six , as they remain neck - and - neck in the battle for eighth . The season series is now tied at two wins each . Gordon Hayward led the Jazz in scoring , with 22 points , along with six rebounds , five assists and four steals , in 40 minutes . Derrick Favors notched a double - double , including 17 points and 15 rebounds , to go with four assists and three blocked shots , in 36 minutes . Shelvin Mack chipped in 16 points , while the only other player to score in double figures for Utah was Trevor Booker , who added 10 points , in 26 minutes off the bench . Utah had 23 turnovers and shot only 40 percent from the field , but still managed to grind out the win . James Harden gave the Rockets a big boost , with 26 points , 10 assists , seven rebounds and eight steals , in 42 minutes . Trevor Ariza chipped in 14 points , while Michael Beasley , Corey Brewer and Clint Capela each added 10 points . No other players scored , assisted or rebounded in double figures for the Rockets , as they were lacking in this ugly , home loss . Next , the Rockets host the Raptors on Friday . The Jazz will head straight to Oklahoma City for a contest on Thursday . This will be the fourth game of a five - game road trip for the Jazz , during which they are now 2 - 1 ."
5,April,2016,Tuesday,2015,FedExForum,Memphis,Tennessee,17600,17800,1516,"The Memphis Grizzlies ( 42 - 36 ) left the Chicago Bulls ( 39 - 39 ) barely clinging to their playoff dreams , beating them 108 - 92 on Tuesday . Memphis is left jockeying with Portland for the fifth seed in the West , holding just a single - game lead after Tuesday 's win . Injuries to star center Marc Gasol and point guard Mario Chalmers have left the team , once slated as a Western Conference contender , decimated and struggling to close out the season . Veteran Zach Randolph took matters into his own hands on Tuesday , however , going for 27 points and 10 rebounds en route to the big win . All-Defense team guard Tony Allen , meanwhile , showed off his lockdown skills on the perimter by stealing the ball four times . The team forced 20 turnovers as a whole in what was a solid defensive outing . The Bulls , meanwhile , look as though they may miss the playoffs for the first time since 2007 - 8 . With four games remaining , including matchups against the Heat and Cavaliers , and a 3 game deficit to overcome , the Bulls may find themselves on the outside of the postseason looking in . Tuesday 's double - digit beatdown did not instill confidence for the squad , as turnovers and free - throw shooting both looked weak in Memphis . Hitting just 68 percent of shots from the line , the Bulls struggled mightily at the charity stripe . All-Star Jimmy Butler was reduced to a non - factor by veteran defensive specialist Tony Allen . Butler scored just five points on the night . The Bulls face a make - or - break matchup on Thursday in Miami . Memphis , meanwhile , will travel to take on Dallas on Friday ."
13,December,2014,Saturday,2014,Time Warner Cable Arena,Charlotte,North Carolina,17100,19100,382,"The Brooklyn Nets ( 10 - 12 ) defeated the Charlotte Hornets ( 6 - 17 ) 114 - 87 on Saturday . Brooklyn has won two straight , and they earned Saturday 's win without several of their frontcourt players . Brook Lopez remains out indefinitely with a lower back injury , while Kevin Garnett sat out to rest his foot on the second night of a back - to - back , and Mirza Teletovic missed a third straight game with a hip pointer . Mason Plumlee played well as the starting center , recording his second straight double - double with 11 points and 13 rebounds . Cory Jefferson earned the first start of his career and put 11 points and five rebounds in 23 minutes . Charlotte has lost two straight , and despite the Nets rolling out their third - string frontcourt , Charlotte was unable to capitalize on the opportunity . Brooklyn shot an absurd 58 percent from the field and 70 percent from beyond the arc to decimate the Hornets ' defense , while Charlotte shot just 39 percent from the field and 63 percent from the free - throw line . The Nets have two days off before they 'll host the Miami Heat on Monday . Charlotte will go on the road to play the Cleveland Cavaliers on Monday ."
